,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
134227,2008,1,7,1,,1055,,1251,YV,2953,N987HA,,116.0,,,,PHX,TEX,387,,,1,B,0,,,,,
494695,2008,1,21,1,1337.0,1340,1601.0,1605,AA,887,N610AA,204.0,205.0,187.0,-4.0,-3.0,BWI,DFW,1217,9.0,8.0,0,,0,,,,,
161083,2008,1,18,5,940.0,715,1048.0,827,OH,5103,N914CA,68.0,72.0,43.0,141.0,145.0,BWI,JFK,184,10.0,15.0,0,,0,141.0,0.0,0.0,0.0,0.0
165494,2008,1,25,5,550.0,550,808.0,757,OH,5347,N972CA,138.0,127.0,87.0,11.0,0.0,SYR,CVG,527,10.0,41.0,0,,0,,,,,
140719,2008,1,17,4,2158.0,2200,2303.0,2301,YV,2890,N929LR,185.0,181.0,156.0,2.0,-2.0,AUS,LAS,1090,20.0,9.0,0,,0,,,,,
293845,2008,1,30,3,1544.0,1545,1654.0,1717,US,1460,N516AU,70.0,92.0,58.0,-23.0,-1.0,PHL,RDU,336,3.0,9.0,0,,0,,,,,
274775,2008,1,15,2,748.0,715,909.0,848,US,1243,N420US,81.0,93.0,66.0,21.0,33.0,MHT,PHL,290,4.0,11.0,0,,0,21.0,0.0,0.0,0.0,0.0
594504,2008,1,6,7,2010.0,1940,2158.0,2146,DL,940,N911DE,108.0,126.0,86.0,12.0,30.0,CVG,LGA,585,7.0,15.0,0,,0,,,,,
78304,2008,1,27,7,1737.0,1735,1837.0,1845,WN,2890,N497WN,60.0,70.0,49.0,-8.0,2.0,ISP,BWI,220,5.0,6.0,0,,0,,,,,
577466,2008,1,27,7,1858.0,1900,2150.0,2147,CO,1593,N19136,172.0,167.0,136.0,3.0,-2.0,MCO,EWR,938,14.0,22.0,0,,0,,,,,
115053,2008,1,13,7,1437.0,1440,1649.0,1707,XE,2915,N26141,192.0,207.0,160.0,-18.0,-3.0,EWR,MCI,1092,3.0,29.0,0,,0,,,,,
225658,2008,1,3,4,1054.0,1040,1852.0,1821,UA,272,N405UA,298.0,281.0,263.0,31.0,14.0,LAX,MCO,2217,11.0,24.0,0,,0,14.0,0.0,17.0,0.0,0.0
570145,2008,1,17,4,926.0,925,1056.0,1103,CO,589,N15710,210.0,218.0,183.0,-7.0,1.0,IAH,SNA,1347,3.0,24.0,0,,0,,,,,
604949,2008,1,14,1,710.0,715,1008.0,1020,DL,1630,N911DL,118.0,125.0,92.0,-12.0,-5.0,DFW,ATL,732,9.0,17.0,0,,0,,,,,
546871,2008,1,1,2,2004.0,2000,2057.0,2050,B6,233,N627JB,113.0,110.0,91.0,7.0,4.0,SLC,LGB,589,8.0,14.0,0,,0,,,,,
222379,2008,1,18,5,1532.0,1505,1742.0,1735,UA,149,N210UA,250.0,270.0,228.0,7.0,27.0,ORD,SFO,1846,5.0,17.0,0,,0,,,,,
255882,2008,1,9,3,1659.0,1655,1900.0,1914,UA,1623,N467UA,241.0,259.0,229.0,-14.0,4.0,MSY,LAX,1671,4.0,8.0,0,,0,,,,,
486961,2008,1,13,7,1503.0,1515,1603.0,1630,AA,531,N471AA,120.0,135.0,105.0,-27.0,-12.0,DCA,STL,719,3.0,12.0,0,,0,,,,,
285916,2008,1,24,4,1405.0,1402,1511.0,1514,US,51,N814AW,66.0,72.0,50.0,-3.0,3.0,FAT,LAS,258,5.0,11.0,0,,0,,,,,
187392,2008,1,12,6,611.0,615,828.0,848,OO,3814,N864AS,77.0,93.0,60.0,-20.0,-4.0,LWS,SLC,461,4.0,13.0,0,,0,,,,,
237046,2008,1,29,2,108.0,2045,346.0,2326,UA,628,N822UA,98.0,101.0,76.0,260.0,263.0,ORD,DCA,612,3.0,19.0,0,,0,0.0,196.0,0.0,0.0,64.0
247025,2008,1,17,4,,1130,,1256,UA,1153,,,86.0,,,,SFO,LAX,337,,,1,A,0,,,,,
527724,2008,1,3,4,628.0,630,830.0,900,AA,2377,N404AA,122.0,150.0,100.0,-30.0,-2.0,LGA,ATL,761,8.0,14.0,0,,0,,,,,
162459,2008,1,20,7,1120.0,1120,1245.0,1241,OH,5507,N538CA,85.0,81.0,50.0,4.0,0.0,BOS,JFK,187,11.0,24.0,0,,0,,,,,
333983,2008,1,23,3,1702.0,1705,1851.0,1907,EV,4500,N908EV,49.0,62.0,30.0,-16.0,-3.0,MGM,ATL,147,12.0,7.0,0,,0,,,,,
540651,2008,1,18,5,2046.0,2040,2334.0,2323,AS,85,N303AS,228.0,223.0,204.0,11.0,6.0,SEA,ANC,1449,6.0,18.0,0,,0,,,,,
195465,2008,1,17,4,1553.0,1559,1630.0,1640,OO,5449,N582SW,37.0,41.0,24.0,-10.0,-6.0,SFO,SMF,86,1.0,12.0,0,,0,,,,,
601616,2008,1,11,5,559.0,600,659.0,700,DL,1906,N909DE,60.0,60.0,31.0,-1.0,-1.0,LGA,BOS,185,14.0,15.0,0,,0,,,,,
61285,2008,1,22,2,1655.0,1655,1849.0,1850,WN,259,N297WN,114.0,115.0,103.0,-1.0,0.0,BHM,HOU,570,3.0,8.0,0,,0,,,,,
195397,2008,1,17,4,606.0,610,905.0,854,OO,4124,N608SK,119.0,104.0,95.0,11.0,-4.0,SFO,SLC,599,8.0,16.0,0,,0,,,,,
264453,2008,1,7,1,1127.0,1130,1329.0,1335,US,1020,N938UW,122.0,125.0,94.0,-6.0,-3.0,FLL,CLT,631,11.0,17.0,0,,0,,,,,
70588,2008,1,24,4,1229.0,1230,1355.0,1340,WN,1506,N611SW,86.0,70.0,47.0,15.0,-1.0,PIT,PHL,267,8.0,31.0,0,,0,0.0,0.0,15.0,0.0,0.0
242017,2008,1,6,7,2133.0,2100,19.0,5,UA,818,N463UA,106.0,125.0,87.0,14.0,33.0,ORD,EWR,719,6.0,13.0,0,,0,,,,,
40924,2008,1,15,2,1428.0,1425,1427.0,1430,WN,295,N750SA,59.0,65.0,48.0,-3.0,3.0,PHX,SAN,304,4.0,7.0,0,,0,,,,,
90857,2008,1,31,4,700.0,700,929.0,955,WN,3220,N724SW,329.0,355.0,320.0,-26.0,0.0,BDL,LAS,2298,3.0,6.0,0,,0,,,,,
399627,2008,1,14,1,1230.0,1210,1455.0,1430,MQ,3910,N837AE,145.0,140.0,128.0,25.0,20.0,MIA,RIC,826,5.0,12.0,0,,0,20.0,0.0,5.0,0.0,0.0
101063,2008,1,11,5,1139.0,1130,1308.0,1255,XE,7766,N14570,89.0,85.0,58.0,13.0,9.0,SMF,LAX,373,11.0,20.0,0,,0,,,,,
413122,2008,1,30,3,1958.0,2000,2021.0,2010,MQ,4398,N625AE,83.0,70.0,31.0,11.0,-2.0,GRR,ORD,137,11.0,41.0,0,,0,,,,,
121802,2008,1,27,7,801.0,805,948.0,955,XE,2382,N17507,107.0,110.0,81.0,-7.0,-4.0,DAY,EWR,533,8.0,18.0,0,,0,,,,,
582893,2008,1,7,1,1836.0,1837,2014.0,2002,CO,221,N27734,158.0,145.0,113.0,12.0,-1.0,ATL,IAH,689,31.0,14.0,0,,0,,,,,
222714,2008,1,15,2,1731.0,1720,1952.0,2003,UA,161,N417UA,261.0,283.0,242.0,-11.0,11.0,ORD,OAK,1835,6.0,13.0,0,,0,,,,,
574372,2008,1,29,2,852.0,900,1013.0,1014,CO,1104,N33608,81.0,74.0,42.0,-1.0,-8.0,DCA,EWR,199,8.0,31.0,0,,0,,,,,
